System nameplate capacity (kWdc),Analysis period (years),NPV Net present value ($)
4.8,13,5397.84
4.9,13,5510.3
5,13,5622.75
5.1,13,5735.21
5.2,13,5847.66
5.3,13,5960.12
5.4,13,6072.57
5.5,13,6185.03
5.6,13,6297.48
5.7,13,6409.94
5.8,13,6522.39
5.9,13,6634.85
6,13,6747.3
6.1,13,6856.88
6.2,13,6962.27
6.3,13,7064.4
6.4,13,7163.93
6.5,13,7262.45
6.6,13,7360.97
6.7,13,7459.49
6.8,13,7558.01
6.9,13,7656.53
7,13,7755.05
7.1,13,7853.57
7.2,13,7952.09
7.3,13,8050.61
7.4,13,8138.82
7.5,13,8197.98
7.6,13,8232.88
2.4,14,2867.24
2.5,14,2986.7
2.6,14,3106.17
2.7,14,3225.64
2.8,14,3345.11
2.9,14,3464.58
3,14,3584.04
3.1,14,3703.51
3.2,14,3822.98
3.3,14,3942.45
3.4,14,4061.92
3.5,14,4181.39
3.6,14,4300.85
3.7,14,4420.32
3.8,14,4539.79
3.9,14,4659.26
4,14,4778.73
4.1,14,4898.19
4.2,14,5017.66
4.3,14,5137.13
4.4,14,5256.6
4.5,14,5376.07
4.6,14,5495.54
4.7,14,5615
4.8,14,5734.47
4.9,14,5853.94
5,14,5973.41
5.1,14,6092.88
5.2,14,6212.34
5.3,14,6331.81
5.4,14,6451.28
5.5,14,6570.75
5.6,14,6690.22
5.7,14,6809.69
5.8,14,6929.15
5.9,14,7048.62
6,14,7168.09
6.1,14,7284.68
6.2,14,7397.08
6.3,14,7506.22
6.4,14,7612.77
6.5,14,7717.72
6.6,14,7822.6
6.7,14,7927.48
6.8,14,8032.37
6.9,14,8137.25
7,14,8242.13
7.1,14,8347.02
7.2,14,8451.9
7.3,14,8556.78
7.4,14,8651.36
7.5,14,8716.88
7.6,14,8758.15
2.4,15,3024.5
2.5,15,3150.52
2.6,15,3276.54
2.7,15,3402.57
2.8,15,3528.59
2.9,15,3654.61
3,15,3780.63
3.1,15,3906.65
3.2,15,4032.67
3.3,15,4158.69
3.4,15,4284.71
3.5,15,4410.73
3.6,15,4536.75
3.7,15,4662.77
3.8,15,4788.8
3.9,15,4914.82
4,15,5040.84
4.1,15,5166.86
4.2,15,5292.88
4.3,15,5418.9
4.4,15,5544.92
4.5,15,5670.94
4.6,15,5796.96
4.7,15,5922.98
4.8,15,6049.01
4.9,15,6175.03
5,15,6301.05
5.1,15,6427.07
5.2,15,6553.09
5.3,15,6679.11
5.4,15,6805.13
5.5,15,6931.15
5.6,15,7057.17
5.7,15,7183.19
5.8,15,7309.21
5.9,15,7435.24
6,15,7561.26
6.1,15,7684.4
6.2,15,7803.35
6.3,15,7919.05
6.4,15,8032.14
6.5,15,8143.3
6.6,15,8254.13
6.7,15,8364.96
6.8,15,8475.79
6.9,15,8586.61
7,15,8697.44
7.1,15,8808.27
7.2,15,8919.1
7.3,15,9029.93
7.4,15,9130.45
7.5,15,9201.92
7.6,15,9249.13
